D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,rank
14:14,0:0,11:14,2:4,1:1,12:17,0:0,0:0,6:5,0:0,0:0,2:2,0:0,0:0,0:0,9:16,0:0,0:0,3:6,0:0,1:0,2:5,0:0,0:0,0:0,0:0,3709
14:9,0:0,2:2,3:1,0:1,1:1,0:1,0:0,50:51,0:0,0:0,1:0,0:0,0:0,0:0,1:1,0:0,0:0,2:4,3:3,0:0,1:0,0:0,0:0,0:0,0:0,3709
5:6,6:3,11:11,3:4,3:3,6:5,8:8,2:2,28:19,0:0,1:3,0:2,2:3,0:0,0:0,1:2,0:0,0:1,7:6,1:0,1:0,1:1,0:1,0:0,0:0,0:0,3709
3:6,9:10,2:1,2:2,3:3,8:5,6:7,28:26,3:1,1:2,5:6,0:1,1:1,0:0,1:0,1:1,0:1,3:3,8:6,2:1,0:0,1:0,1:4,0:2,0:1,0:0,3709
2:4,0:0,2:4,4:8,0:1,36:39,0:1,0:0,9:9,3:2,0:0,1:5,0:0,0:0,0:0,22:19,0:0,0:0,2:2,0:1,0:0,1:1,0:1,0:0,0:0,0:0,3709
0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:2,1:3,0:0,0:0,0:0,76:64,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,12:16,3709
8:2,0:0,0:1,8:6,0:3,35:19,0:2,2:2,4:3,8:15,0:3,1:1,0:1,0:0,0:1,7:5,4:2,9:5,3:4,2:0,0:0,5:4,0:2,1:2,1:1,0:1,3709
10:5,0:1,16:10,0:1,0:1,52:49,0:0,0:0,1:2,0:2,0:0,0:2,1:1,0:0,0:0,7:5,0:0,0:1,4:2,0:0,0:0,5:4,0:0,0:0,0:0,0:0,3709
15:12,10:5,5:12,4:6,8:6,2:5,7:8,28:26,14:19,1:1,5:3,1:0,2:1,0:1,0:0,5:5,1:0,2:3,8:10,0:0,2:1,1:3,1:0,1:1,0:0,0:0,3709
1:1,0:1,2:9,0:0,0:0,0:1,0:1,0:0,1:1,149:97,0:4,0:0,2:6,0:0,0:0,0:6,0:1,0:0,0:2,0:0,0:0,0:4,0:0,0:0,1:1,0:0,3709
0:0,0:0,0:1,0:0,0:0,132:148,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,11:12,0:0,0:0,0:0,0:0,3709
4:4,18:25,1:1,1:0,0:0,0:0,114:106,1:0,14:14,0:0,0:3,1:1,1:0,0:0,0:0,0:3,1:2,6:12,0:1,0:0,0:0,0:3,6:10,5:2,1:0,0:0,3709
13:8,0:1,17:10,5:6,4:2,68:55,1:6,0:0,33:27,0:0,0:0,3:1,1:2,0:0,0:2,2:7,1:3,29:33,7:12,8:4,7:2,3:6,0:1,0:1,1:0,5:1,3709
13:8,0:1,17:10,5:6,4:2,68:55,1:6,0:0,33:27,0:0,0:0,3:1,1:2,0:0,0:2,2:7,1:3,29:33,7:12,8:4,7:2,3:6,0:1,0:1,1:0,5:1,3709
10:7,15:14,10:7,5:5,16:8,2:6,10:12,103:93,23:15,20:17,4:9,1:3,13:10,1:5,0:3,10:10,2:2,6:9,11:9,0:2,1:2,2:4,1:7,1:3,2:1,0:1,3709
0:0,0:0,0:0,0:1,0:1,0:0,0:0,1:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:0,0:0,0:1,0:0,1:1,1:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3708
0:0,1:6,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:0,0:0,0:1,0:0,0:0,0:0,1:2,1:0,2:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
2:1,0:0,0:0,0:0,0:0,0:5,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:0,0:0,0:0,0:0,0:0,0:0,7:3,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:0,0:0,0:0,0:0,0:0,7:3,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:0,0:0,0:0,0:0,3:1,0:0,0:1,1:4,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:0,0:1,0:0,0:1,0:2,0:0,0:1,1:1,0:0,1:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,1:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,3708
0:0,0:0,0:1,0:0,0:0,10:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3708
0:0,0:0,0:0,0:0,0:0,0:0,0:1,6:7,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:1,0:0,2:2,0:1,0:1,0:2,0:1,0:0,5:1,0:1,0:0,0:0,0:0,0:0,0:0,3:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:0,0:0,0:0,0:0,0:0,13:9,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
3:1,0:2,1:0,0:1,2:0,0:0,0:1,2:2,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,2:2,0:0,0:0,0:1,0:1,0:0,0:0,0:0,3708
0:0,0:0,0:0,0:0,1:1,0:0,14:4,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:0,1:0,0:1,0:0,2:1,1:0,1:1,4:2,0:0,0:1,0:0,0:0,2:2,0:0,0:0,0:1,1:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
1:1,0:0,0:1,0:0,1:0,2:2,0:0,0:1,3:5,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,1:1,1:5,0:0,0:0,0:1,0:0,0:0,0:0,3708
0:0,0:0,0:1,0:0,0:2,6:7,0:0,0:0,5:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,3708
0:1,0:0,1:0,0:1,0:0,7:2,0:0,0:0,1:5,0:0,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,1:1,0:0,0:0,1:2,0:0,0:0,0:0,0:0,3708
7:8,0:0,4:5,0:0,0:0,1:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
3:1,0:0,4:4,0:0,1:2,1:0,0:0,0:0,3:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,3708
0:2,0:0,0:0,0:0,0:0,0:0,1:3,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:2,0:0,0:0,9:9,0:0,0:0,0:0,0:0,3708
1:1,0:0,0:0,0:1,1:1,9:4,0:0,0:0,2:7,0:0,0:0,0:0,0:0,0:0,0:0,3:1,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3708
0:0,2:0,0:0,0:0,1:1,0:0,2:3,10:7,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,3708
1:0,1:1,0:0,0:0,0:0,0:1,0:1,0:1,10:8,0:0,0:1,0:0,1:1,0:0,0:1,0:0,0:0,0:0,1:0,0:0,1:0,1:0,0:0,0:0,0:0,0:0,3708
0:4,0:0,0:0,0:0,0:0,13:7,0:0,0:0,4:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,3708
1:0,3:3,0:0,0:0,0:0,0:0,2:3,4:6,1:0,0:1,0:1,0:0,0:0,3:3,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,3708
5:1,0:2,2:0,3:2,2:2,0:1,0:1,1:1,1:0,0:0,0:0,1:0,0:1,0:0,0:0,6:2,0:0,0:1,3:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,3708
0:0,4:5,0:0,0:0,0:0,0:0,0:1,18:7,0:0,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,3708
0:1,2:2,0:1,0:0,0:0,1:0,19:3,1:2,1:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,2:1,1:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,3708
0:1,0:1,0:1,0:2,0:2,0:0,1:5,5:3,0:1,4:2,1:2,0:0,1:1,0:2,1:0,0:0,0:0,3:1,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,3708
1:1,0:0,0:1,0:0,0:1,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,6:4,0:0,0:0,12:4,0:0,0:0,3:7,0:0,0:0,0:0,0:0,3708
1:0,0:2,0:1,0:1,1:1,0:0,2:4,3:5,0:1,0:0,1:3,0:0,0:0,0:1,0:0,0:1,0:0,0:2,2:1,0:1,0:0,0:0,6:3,0:0,0:0,0:0,3708
0:3,0:0,10:5,0:1,2:3,0:0,0:1,0:1,4:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
1:0,0:0,1:6,6:4,1:1,1:1,0:0,0:0,0:0,0:1,0:0,1:1,0:0,0:0,0:0,4:3,1:2,0:0,6:2,0:0,0:0,0:2,0:0,0:0,0:0,0:1,3708
0:0,1:0,2:1,3:2,0:1,0:0,2:3,7:5,0:2,2:2,0:0,0:0,0:0,0:0,0:0,1:4,0:1,0:1,1:1,1:0,0:0,0:0,0:3,0:0,0:1,0:0,3708
0:0,11:7,1:1,1:0,0:1,0:0,1:1,7:5,1:1,1:0,2:0,0:0,1:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,3708
11:10,5:4,1:0,0:0,1:2,1:3,0:2,1:3,0:0,0:0,1:2,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,3708
2:5,5:5,0:1,0:0,0:0,0:0,2:1,6:4,2:1,0:0,1:2,0:0,1:2,0:0,0:0,1:0,0:0,1:0,1:3,0:0,0:0,2:5,0:0,0:0,0:0,0:0,3708
1:2,2:0,1:0,0:0,1:1,2:4,0:0,1:1,0:1,0:0,0:0,1:0,0:0,0:0,0:0,12:13,0:0,0:0,12:13,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3699
1:0,0:0,0:1,1:1,5:0,4:8,1:0,3:3,0:7,2:5,0:1,0:1,1:1,0:1,0:1,0:0,0:0,1:0,2:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3708
2:1,6:3,0:1,1:2,1:0,1:1,1:2,7:5,0:1,4:1,0:2,2:1,1:1,0:0,1:0,0:2,0:1,1:2,1:2,0:0,0:0,0:0,0:0,1:0,0:0,0:0,3708
1:1,1:1,0:1,1:0,1:1,1:0,9:5,1:2,1:3,0:2,12:3,0:0,1:1,0:0,1:0,1:0,0:1,0:0,2:0,0:0,0:0,2:1,0:0,0:0,1:0,0:0,3708
5:0,2:2,2:1,2:0,2:3,4:4,3:3,0:0,0:1,0:2,1:0,0:1,0:0,0:0,15:9,0:1,0:0,0:1,1:3,0:0,0:0,0:2,0:0,0:0,1:0,0:0,3708
7:8,0:0,0:0,0:0,0:0,26:29,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3708
0:0,0:0,1:2,0:1,3:1,0:2,0:1,3:3,24:24,0:1,0:1,0:0,4:2,0:0,0:0,0:2,0:0,0:0,0:1,1:0,1:1,0:0,0:0,0:0,0:0,0:0,3708
7:8,2:2,0:1,5:8,4:3,1:0,2:4,2:2,0:0,1:2,1:3,0:1,0:2,0:0,0:0,1:1,1:1,1:2,6:5,0:0,0:0,0:1,2:1,1:1,1:0,0:0,3708
0:1,2:3,1:0,0:3,2:3,0:2,15:11,0:1,3:3,0:0,1:3,2:0,1:0,0:0,0:0,3:3,0:0,0:0,11:7,0:1,0:1,0:0,0:0,0:0,2:1,0:0,3708
4:5,0:0,4:7,1:2,0:0,33:20,0:0,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:3,0:0,0:0,3:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
3:0,4:3,4:4,4:7,3:3,0:0,9:11,4:6,19:12,0:2,1:0,0:0,21:18,0:0,0:0,0:1,0:1,0:0,0:0,1:0,0:1,0:0,1:4,0:0,0:1,0:1,3534
0:1,0:4,3:4,1:2,4:3,0:1,4:6,35:27,0:2,1:2,0:0,0:1,0:2,2:1,0:2,1:0,0:0,0:1,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3708
3:2,0:0,0:0,1:1,0:0,0:2,2:1,0:0,0:0,0:0,0:0,20:12,0:0,9:8,9:6,4:10,0:0,1:1,2:7,7:8,0:0,0:1,0:0,0:0,0:0,0:0,3708
30:8,1:1,21:14,0:1,1:3,0:1,0:1,2:6,4:7,1:0,1:1,1:1,0:1,0:0,0:0,2:1,0:0,0:0,1:2,0:0,1:0,0:0,0:1,0:0,0:0,0:0,3708
10:15,0:0,0:1,0:0,0:0,47:35,0:0,0:0,5:8,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:4,0:1,0:0,0:1,0:0,0:1,0:0,0:0,3708
2:3,30:24,2:5,1:3,0:2,4:3,3:7,1:1,9:8,0:0,1:1,0:0,3:3,0:0,0:1,2:2,0:1,0:2,0:3,0:0,0:0,2:1,1:0,0:0,0:0,1:0,3708
18:17,1:0,9:8,3:5,2:0,1:1,0:0,2:2,8:8,0:0,0:0,1:1,1:0,0:0,0:0,3:4,0:0,0:0,21:19,0:0,0:1,1:0,0:0,0:0,0:0,0:0,3708
7:7,0:1,1:0,45:24,2:1,1:2,0:3,1:1,1:0,0:0,0:1,0:0,0:0,0:0,0:0,7:5,0:0,0:0,22:15,0:0,0:0,0:0,0:0,0:1,0:0,0:0,3708
0:0,13:14,0:0,0:2,0:0,0:0,0:2,50:42,0:1,0:0,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,14:14,0:0,0:0,3708
25:13,0:1,24:22,2:2,6:5,1:1,1:1,0:0,0:3,0:0,0:1,6:3,10:4,0:0,0:1,1:2,0:0,0:0,1:2,13:7,0:0,1:0,0:2,0:0,0:0,0:0,3708
0:0,0:0,0:2,22:17,10:13,2:1,3:6,0:0,6:6,6:4,0:1,0:0,5:2,2:2,1:1,3:1,0:1,0:1,5:5,1:0,0:0,10:5,6:9,2:5,0:0,0:0,3708
14:13,0:1,29:11,0:1,1:0,90:55,0:0,0:0,4:5,1:2,0:0,1:1,0:0,0:0,0:0,1:0,0:0,0:0,1:5,2:3,0:0,2:1,0:0,0:2,0:0,0:0,3810
12:8,5:4,7:4,10:14,6:9,9:3,4:5,0:1,3:3,6:3,0:0,1:2,26:15,0:0,1:2,3:5,0:0,1:5,3:4,0:0,0:0,0:2,2:6,0:0,1:0,0:0,3708
4:5,1:2,5:4,6:6,13:6,4:3,8:10,3:2,4:3,5:2,1:4,7:2,2:2,4:3,4:5,10:6,5:4,2:1,5:3,1:4,1:0,4:2,5:13,5:2,1:2,1:1,3708
6:6,35:24,1:0,1:2,5:5,0:0,4:4,1:2,1:3,1:6,36:25,1:1,1:4,16:13,0:2,0:0,0:1,0:0,7:5,0:1,1:1,0:0,2:1,0:1,0:0,0:0,3708
7:3,15:8,7:7,5:12,11:4,2:2,15:14,33:16,8:11,0:1,3:5,1:1,0:3,2:2,2:2,3:4,0:0,1:2,4:5,2:3,1:0,0:0,1:4,0:0,0:1,0:0,3708
0:0,0:0,0:0,0:0,0:0,130:110,0:0,0:0,1:0,0:1,0:1,0:1,0:0,0:0,0:0,5:4,0:0,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3708
4:3,2:2,3:2,1:1,12:7,3:3,17:13,95:59,10:9,0:1,5:13,1:0,0:1,0:0,1:0,2:3,0:2,2:4,15:11,0:0,0:1,4:4,1:2,2:1,0:0,0:0,3708
0:0,0:0,0:0,0:0,0:0,0:1,1:1,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3707
0:0,0:0,0:0,0:0,0:0,1:4,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,3707
0:1,0:0,0:0,0:1,1:0,0:0,0:1,0:0,0:0,0:0,0:0,2:1,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
2:3,0:0,0:0,1:1,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,8:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
0:0,0:0,1:1,0:0,1:1,0:0,0:0,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3707
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,4:5,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,3707
0:0,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,7:3,0:0,0:0,0:0,0:0,3707
0:0,1:1,1:0,0:1,0:0,0:0,3:3,2:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:0,0:0,0:0,0:0,3707
0:1,0:0,0:0,0:0,0:0,7:3,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
0:0,1:1,1:0,0:0,0:0,0:1,0:2,1:2,0:0,0:0,1:1,1:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3707
0:0,0:0,0:0,0:0,0:0,0:0,1:0,2:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,5:0,0:0,1:0,2:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3707
0:0,0:0,0:2,0:0,0:0,3:8,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,3707
1:0,0:0,0:2,3:0,2:0,0:0,0:0,1:1,0:1,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,1:1,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,3707
0:1,2:3,0:0,0:0,0:0,1:1,0:1,1:1,2:1,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
0:0,0:0,0:1,0:0,1:0,1:1,0:0,0:0,8:3,0:0,0:0,0:0,0:0,0:0,1:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
1:1,0:0,1:1,0:1,2:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,1:0,2:1,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:1,7:5,0:2,0:0,3707
2:4,0:0,0:0,0:0,0:0,5:5,0:0,0:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3707
0:1,1:3,1:2,2:1,2:0,0:0,1:1,0:0,0:1,1:0,0:2,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:1,0:0,0:0,0:0,3707
1:0,0:0,1:0,2:0,0:0,0:0,3:0,1:2,3:1,0:1,1:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,3:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,3707
1:1,0:1,0:1,0:0,2:0,2:2,5:6,0:0,1:0,0:0,0:1,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
0:0,0:0,0:1,0:0,0:0,1:2,0:0,0:0,7:5,0:0,0:0,0:0,0:0,0:0,0:0,6:2,0:1,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3707
0:0,0:0,0:0,0:0,0:0,7:8,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:2,0:0,6:4,0:0,0:0,0:0,0:0,3707
2:1,0:0,4:3,1:0,2:2,2:2,0:1,0:0,2:3,1:0,0:0,0:1,0:0,0:0,0:0,1:1,0:0,0:0,1:1,1:0,0:0,1:0,0:0,0:1,0:0,0:0,3707
0:3,0:0,3:1,3:7,0:0,0:1,2:3,0:0,2:1,0:0,0:1,0:1,2:1,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3707
1:0,0:0,5:5,2:1,0:0,3:5,1:0,0:0,2:1,0:0,0:0,0:2,0:0,1:1,0:0,0:0,0:0,0:0,1:2,0:0,0:1,0:1,0:0,0:0,0:1,0:0,3707
1:3,0:1,4:1,3:3,1:1,0:0,0:1,1:5,0:0,1:1,0:1,1:0,0:0,0:0,0:0,0:2,0:0,0:1,1:3,3:1,0:0,0:0,0:2,0:0,0:0,0:0,3707
0:2,0:0,1:1,0:0,0:0,14:7,1:2,0:0,2:1,0:1,0:0,1:0,1:0,0:0,0:0,5:2,0:0,1:0,0:1,1:0,0:0,3:1,0:0,0:0,0:0,0:0,3707
0:0,2:1,0:1,0:0,1:0,3:1,0:2,7:4,2:4,0:1,2:3,1:1,0:1,0:0,0:0,1:1,0:0,3:2,0:1,0:0,0:1,1:0,0:1,0:0,0:0,0:0,3707
1:1,13:15,1:1,1:2,1:2,0:0,4:3,1:1,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
0:0,0:0,3:5,1:0,1:0,9:8,1:1,0:0,5:2,0:0,1:0,0:0,0:1,0:0,0:0,2:3,0:0,0:0,1:0,0:0,0:0,0:2,0:2,1:3,0:0,2:0,3707
0:0,0:0,0:0,11:5,0:2,1:0,0:0,7:3,3:2,0:0,0:0,0:0,0:1,0:0,0:0,6:6,0:0,0:0,0:0,0:0,0:0,6:0,0:2,0:0,0:0,0:0,3707
0:0,0:0,12:13,0:0,5:2,0:0,0:1,0:0,6:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,10:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3707
2:1,5:3,0:1,1:2,6:4,0:0,6:2,10:5,0:1,1:0,2:2,0:0,1:1,0:0,0:0,0:0,0:1,3:4,0:1,0:0,0:0,0:0,0:1,0:0,0:1,1:0,3707
0:0,0:0,0:0,0:0,0:0,41:29,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3707
1:4,5:4,5:7,19:16,2:2,2:1,3:3,5:4,3:5,0:1,1:6,1:1,1:3,0:0,0:1,4:4,0:0,0:1,4:3,0:1,0:0,0:2,1:4,1:0,0:1,0:0,3504
12:8,0:0,0:2,0:1,2:2,24:15,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,2:2,0:0,0:0,0:0,0:3,3707
2:3,1:1,18:4,1:1,1:2,4:3,3:0,10:6,2:4,0:0,1:1,0:0,0:1,0:0,0:0,2:3,0:0,0:0,2:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,3707
0:0,5:6,0:1,2:1,0:1,0:0,15:9,0:1,3:6,0:0,14:12,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:1,0:0,3707
4:0,8:4,2:3,2:0,1:0,0:0,18:5,13:5,1:3,0:0,1:1,0:0,2:2,0:0,0:1,0:1,0:1,0:0,1:0,0:0,0:0,0:0,0:1,1:0,0:0,1:2,3707
1:1,0:0,0:1,0:0,1:0,0:4,0:0,0:0,40:35,0:0,0:0,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3707
4:4,2:2,2:2,2:3,9:4,2:3,5:3,4:6,6:4,0:0,0:1,0:0,1:0,0:0,0:1,5:5,0:0,0:1,7:9,2:2,0:0,0:0,0:0,0:0,0:1,0:0,3707
2:1,1:2,0:1,19:16,0:1,13:9,3:6,1:2,4:3,2:1,2:0,2:0,2:2,0:0,0:1,1:2,1:1,1:0,2:1,0:0,0:0,0:2,1:1,0:1,0:1,0:0,3707
4:6,1:1,1:7,13:10,4:4,1:3,6:6,3:5,3:8,1:1,1:1,3:2,3:7,0:0,0:0,6:2,0:0,0:1,9:5,0:0,0:0,0:1,0:1,0:1,0:0,0:0,3707
2:1,4:5,0:1,5:2,3:1,0:0,20:16,14:12,3:1,1:1,4:7,0:1,2:4,10:7,0:1,0:1,0:0,2:3,0:1,0:0,0:0,0:0,1:3,0:0,1:0,0:0,3707
2:2,2:1,1:0,0:0,0:0,0:1,26:27,2:1,2:2,8:13,40:14,0:0,0:0,0:0,0:1,0:1,0:0,0:0,2:2,0:0,0:0,0:0,1:0,0:0,1:0,0:0,3707
