D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,Moira,hours,rank
2:1,13:11,3:2,4:0,4:0,0:2,5:10,22:8,5:7,1:0,3:3,0:0,10:5,0:0,0:0,2:0,0:1,2:0,4:0,0:0,1:3,3:5,3:2,0:0,0:1,1:1,0:0,Updated : 5 Hours Ago,3629
0:0,1:0,0:0,0:1,0:0,0:0,0:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:1,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 26 Hours Ago,3628
0:0,1:0,0:0,0:0,0:0,0:0,0:2,0:0,4:1,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3628
0:0,1:2,0:0,0:1,0:0,0:1,1:0,1:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 38 Hours Ago,3628
0:0,0:0,0:1,0:0,0:1,0:0,1:1,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3628
0:0,0:0,0:0,0:0,0:0,8:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 78 Hours Ago,3628
0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,1:1,0:0,2:2,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 20 Hours Ago,3628
0:0,0:0,2:1,0:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,3628
1:1,0:1,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 55 Min. Ago,3628
0:0,0:0,1:2,0:0,0:2,2:1,0:1,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,3628
1:0,0:0,0:1,0:1,0:0,1:0,0:0,0:0,0:1,0:0,0:0,2:0,0:0,0:0,0:0,1:0,0:0,0:0,0:2,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,Updated : 125 Hours Ago,3628
2:0,0:0,2:0,0:2,1:0,0:0,0:0,1:0,0:1,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3628
0:0,0:0,0:1,0:0,1:0,1:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,3628
0:0,0:0,0:0,0:0,0:0,3:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,5:0,0:0,0:0,0:0,0:0,0:0,Updated : 28 Hours Ago,3628
0:0,0:0,0:0,0:1,0:0,0:0,2:1,0:0,5:2,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 90 Hours Ago,3628
0:0,0:0,0:0,1:0,1:0,0:0,0:0,3:3,1:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 108 Hours Ago,3628
2:1,0:0,1:2,0:0,3:1,0:1,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,2:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 75 Hours Ago,3628
0:0,0:0,2:0,1:1,1:0,7:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3628
0:1,2:1,0:1,1:0,0:0,0:0,2:1,1:0,0:0,0:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,1:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 34 Min. Ago,3628
0:0,0:2,0:0,0:0,0:0,0:1,2:5,0:1,0:0,0:2,1:2,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 11 Hours Ago,3628
0:1,1:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,10:3,0:0,0:0,0:0,0:0,1:0,0:0,10:3,Updated : 29 Hours Ago,3628
2:0,0:0,0:2,0:0,1:1,0:0,0:0,0:0,12:7,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:2,0:0,1:0,0:2,0:0,0:0,0:0,0:0,0:0,Updated : 98 Hours Ago,3628
0:1,1:1,0:1,2:3,1:1,0:0,3:3,1:2,1:0,0:0,0:1,1:5,1:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 27 Hours Ago,3628
3:2,0:0,1:1,0:1,0:1,3:2,0:0,0:0,4:6,0:0,0:0,0:1,0:1,0:0,0:0,1:1,0:0,0:0,1:6,0:0,0:1,2:1,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,3628
2:1,2:1,1:0,1:1,1:1,2:1,2:1,1:1,1:2,3:1,0:1,0:0,1:0,0:0,0:0,0:0,0:0,1:0,2:1,0:0,0:0,5:2,0:0,0:0,0:0,0:0,0:0,Updated : 34 Hours Ago,3628
0:1,3:2,0:0,1:1,0:1,0:0,1:3,1:1,2:1,0:1,2:3,0:0,0:1,7:6,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,3628
0:0,2:3,0:0,1:0,0:0,0:0,7:3,2:4,0:0,0:0,7:3,0:0,2:0,0:0,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,1:0,0:0,1:2,0:0,0:0,Updated : 262 Hours Ago,3628
3:2,5:2,0:1,1:1,1:2,3:0,1:1,0:1,0:1,0:0,1:1,0:0,0:1,0:0,0:0,3:4,0:0,0:0,2:1,0:0,0:0,1:1,0:0,0:2,0:0,0:0,0:0,Updated : 24 Hours Ago,3628
4:1,0:1,1:1,0:1,2:0,0:1,1:0,11:3,5:3,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:2,0:0,0:0,3:2,1:1,0:0,0:0,0:0,0:0,Updated : 35 Hours Ago,3628
1:0,3:3,2:1,1:1,0:1,3:0,11:3,2:1,1:1,1:0,0:1,5:0,1:0,0:0,0:1,1:0,1:1,1:0,2:1,1:1,0:1,0:0,0:0,0:0,0:0,0:0,1:1,Updated : 40 Hours Ago,3628
0:2,2:2,0:1,4:2,1:3,0:0,6:6,4:2,10:3,0:0,0:1,0:0,0:1,0:0,0:0,0:1,0:0,0:0,1:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,3628
0:0,1:4,1:1,0:0,3:1,0:1,2:3,11:7,0:0,2:0,3:6,0:1,0:1,1:0,1:0,0:0,1:1,0:2,0:1,0:0,0:1,0:0,1:3,1:0,0:1,0:0,0:0,Updated : 24 Hours Ago,3628
8:1,11:2,2:2,0:0,10:2,3:1,1:2,3:2,4:3,0:1,0:1,1:1,0:0,0:0,0:1,3:1,0:0,0:0,3:1,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,Updated : 25 Hours Ago,3628
1:0,1:0,0:0,0:0,0:0,1:0,4:1,13:26,2:0,1:1,6:13,0:0,1:0,0:0,0:0,1:0,1:2,0:1,0:0,0:0,1:2,0:2,1:0,1:2,0:2,1:0,0:0,Updated : 109 Hours Ago,3628
7:3,1:1,1:3,1:2,2:2,1:2,13:14,4:2,6:4,0:1,1:2,1:1,2:2,0:1,0:0,0:0,0:0,1:0,1:2,1:0,0:0,0:0,3:4,0:1,0:0,1:0,1:0,Updated : 13 Hours Ago,3628
0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,52:41,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3628
0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:3,0:0,3:3,0:1,0:0,0:0,0:3,2:3,0:0,1:3,1:1,0:0,0:0,0:6,0:0,15:20,14:11,1:3,0:2,0:0,Updated : 36 Hours Ago,3628
0:1,0:0,2:2,0:0,0:1,43:33,0:0,0:0,6:6,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,1:1,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,Updated : 123 Hours Ago,3628
0:0,1:0,20:18,6:9,1:1,0:1,0:0,0:0,11:15,0:1,0:1,2:1,1:0,0:0,0:0,0:3,0:1,0:0,2:5,0:0,0:1,0:2,0:0,0:1,0:0,0:0,0:0,Updated : 33 Hours Ago,3628
0:1,3:6,0:1,0:2,2:2,0:1,23:17,9:3,4:9,0:1,6:7,0:1,0:0,0:0,1:1,0:0,1:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,Updated : 24 Hours Ago,3628
2:1,0:1,11:7,6:6,1:3,11:9,1:1,0:1,22:20,0:2,0:1,2:0,0:1,0:0,1:1,4:3,1:0,0:0,3:4,0:0,1:0,0:1,0:1,0:1,0:1,0:1,0:0,Updated : 24 Hours Ago,3628
7:6,3:3,2:0,9:3,7:6,2:1,3:2,14:5,6:3,11:3,1:0,1:1,3:1,6:2,2:2,9:7,1:0,3:1,2:0,0:1,2:0,1:0,1:0,2:1,1:0,1:0,0:1,Updated : 37 Hours Ago,3628
0:1,7:4,6:2,1:2,4:2,0:2,6:8,11:11,16:6,9:5,2:6,0:1,1:0,3:3,0:0,5:2,1:1,2:3,4:2,0:0,4:1,1:1,1:1,2:0,1:2,0:1,0:0,Updated : 38 Hours Ago,3628
3:7,5:7,3:1,3:7,2:3,3:2,7:7,5:6,3:2,7:4,9:9,0:5,1:1,1:1,0:1,3:3,0:1,3:3,0:1,0:0,1:0,5:4,4:6,1:0,2:4,0:3,0:0,Updated : 24 Hours Ago,3628
0:0,0:0,0:4,0:0,0:0,92:72,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:2,0:0,0:2,0:0,0:0,0:0,Updated : 7 Hours Ago,3628
0:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,Updated : 29 Hours Ago,3627
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,Updated : 39 Hours Ago,3627
0:0,0:0,0:0,0:0,0:0,0:0,1:0,2:1,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,3627
2:1,0:0,0:1,0:0,0:0,0:3,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 260 Hours Ago,3627
0:0,0:1,0:0,0:0,0:0,1:0,3:2,0:1,1:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3627
0:0,0:1,0:1,1:1,0:0,0:0,1:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,1:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 39 Hours Ago,3627
0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,3:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:1,0:0,0:0,0:0,0:1,Updated : 78 Hours Ago,3627
0:0,2:2,0:0,0:1,0:0,0:0,3:4,0:0,0:0,0:0,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 26 Hours Ago,3627
0:0,0:1,0:0,0:0,1:1,0:0,0:1,2:1,0:0,2:0,0:1,0:0,2:1,0:0,0:0,1:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 27 Hours Ago,3627
0:0,9:6,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,3627
0:0,0:0,0:0,1:1,0:0,0:0,0:2,6:4,2:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 29 Hours Ago,3627
1:1,2:0,2:0,0:0,0:0,1:0,1:1,2:1,0:1,0:1,0:1,0:0,1:0,0:0,0:0,0:0,0:1,0:0,1:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3627
0:0,5:3,0:1,1:2,0:1,0:0,1:2,0:0,4:2,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3627
0:0,0:0,0:0,0:0,0:0,13:13,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 93 Hours Ago,3627
1:0,0:1,0:0,0:0,0:0,0:0,2:0,0:0,20:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,3627
0:0,0:1,0:0,0:0,0:0,2:0,2:0,9:7,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,Updated : 278 Hours Ago,3627
0:0,0:0,0:1,1:0,0:0,0:0,2:4,10:6,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3627
4:3,6:2,0:0,0:0,1:1,0:0,0:0,3:2,2:2,0:0,0:0,0:0,1:0,0:1,0:0,1:0,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 52 Hours Ago,3627
2:1,4:2,1:0,1:0,0:0,0:0,2:2,2:8,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 27 Hours Ago,3627
2:1,4:2,1:0,1:0,0:0,0:0,2:2,2:8,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 27 Hours Ago,3627
0:0,0:0,0:0,3:2,0:0,0:0,6:4,1:0,0:1,7:5,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:2,0:0,0:0,0:0,0:1,Updated : 19 Hours Ago,3627
0:0,0:0,0:0,0:0,0:0,16:18,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 119 Hours Ago,3627
0:0,2:2,1:1,7:2,3:3,0:0,5:2,2:0,0:0,0:1,0:1,0:0,0:1,0:0,1:0,0:0,0:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3627
0:0,1:0,1:0,1:1,0:4,5:9,2:1,1:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,4:2,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3627
1:2,1:1,1:0,1:0,1:2,2:1,1:1,5:2,10:6,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,Updated : 76 Hours Ago,3627
0:1,1:1,3:2,0:1,3:0,13:13,1:3,0:0,0:2,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 27 Hours Ago,3627
0:0,1:1,3:1,0:0,1:0,1:2,3:4,1:2,0:0,5:6,2:1,0:1,6:9,0:0,0:0,1:0,0:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 26 Hours Ago,3627
1:1,0:0,11:5,0:0,2:1,4:2,0:0,0:0,3:9,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,7:8,0:0,0:0,0:0,0:0,0:0,Updated : 36 Hours Ago,3627
1:0,3:0,0:0,1:0,1:1,1:0,3:2,3:4,0:1,1:0,0:0,0:0,0:1,0:0,1:0,0:0,0:0,2:0,1:1,1:0,0:0,0:0,21:10,0:0,0:0,0:0,1:0,Updated : 2 Hours Ago,3627
9:3,1:1,2:4,2:1,1:1,4:4,0:1,1:2,2:1,1:1,0:0,2:1,0:0,0:0,0:0,0:1,0:0,0:0,9:6,0:0,0:0,0:1,1:2,0:0,0:0,0:0,0:0,Updated : 20 Hours Ago,3627
3:2,5:4,8:8,1:1,3:2,1:3,1:0,5:3,2:3,2:2,1:1,0:0,2:1,0:0,1:0,0:0,0:0,0:1,1:2,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,Updated : 23 Hours Ago,3627
8:4,0:1,3:1,0:4,1:2,0:2,0:1,1:1,1:1,1:2,0:0,1:0,1:1,0:0,0:0,1:1,0:0,0:1,0:2,0:0,0:0,16:12,0:0,1:1,0:0,0:0,0:0,Updated : 26 Hours Ago,3627
0:0,0:1,0:0,0:0,2:2,6:6,0:0,4:3,30:16,0:1,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,Updated : 19 Hours Ago,3627
0:0,0:0,2:1,4:5,1:3,0:0,0:0,14:11,20:19,0:1,0:0,0:0,0:0,0:0,0:0,2:1,0:0,1:1,2:2,0:0,2:1,0:0,0:0,0:1,0:1,0:0,0:0,Updated : 7 Min. Ago,3627
2:0,0:1,0:1,0:1,0:0,3:2,0:1,0:0,4:3,40:20,0:2,2:2,0:0,0:0,0:0,7:4,0:1,0:2,2:1,0:0,0:1,0:0,0:1,0:0,0:0,0:1,0:0,Updated : 41 Hours Ago,3627
3:3,9:3,1:3,0:1,0:0,0:0,0:1,9:4,3:3,0:0,3:2,5:1,19:11,0:0,1:0,0:1,3:1,3:1,1:0,0:0,0:0,3:6,0:0,0:0,0:1,0:0,0:0,Updated : 175 Hours Ago,3627
4:5,2:1,3:3,3:3,35:16,2:2,0:2,2:3,1:3,0:1,0:0,0:0,1:1,0:0,0:0,1:1,0:0,1:0,3:2,1:2,0:0,2:2,0:0,0:0,0:0,0:0,1:2,Updated : 27 Hours Ago,3627
12:12,0:0,0:1,0:0,1:2,46:28,0:1,0:0,6:9,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,2:3,0:0,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3627
9:5,11:9,1:0,2:2,2:4,0:1,6:4,11:16,1:3,1:1,2:4,0:1,4:3,0:0,0:3,1:0,0:1,1:2,5:5,0:0,0:0,0:0,0:4,0:0,1:0,0:0,0:0,Updated : 15 Hours Ago,3627
5:4,10:6,1:2,7:5,3:1,4:3,8:4,15:9,7:5,3:2,2:5,0:0,1:2,0:0,2:1,6:4,0:0,1:1,3:2,0:0,0:0,1:1,1:4,0:1,1:0,0:0,0:0,Updated : 24 Hours Ago,3627
0:0,10:11,23:13,0:1,0:1,26:23,3:8,0:0,70:66,0:1,0:0,1:0,35:36,0:0,0:1,0:0,0:0,6:7,0:1,0:0,0:0,0:1,1:1,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3627
0:0,1:0,0:0,1:0,0:0,0:0,2:0,2:0,1:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 97 Hours Ago,3626
1:0,0:0,1:0,0:0,1:1,0:0,0:1,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 26 Hours Ago,3626
0:1,0:0,0:0,0:0,0:1,0:0,1:0,4:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,3626
0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:1,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 37 Hours Ago,3626
0:0,1:0,0:0,0:0,1:0,1:0,0:1,0:1,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:2,Updated : 34 Hours Ago,3626
0:0,1:0,0:1,0:0,2:1,0:0,2:1,0:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 36 Hours Ago,3626
5:1,0:3,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3626
0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,5:3,0:0,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 27 Hours Ago,3626
1:0,0:0,0:1,0:0,1:2,0:0,0:1,0:0,3:2,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,3626
1:1,0:0,0:2,0:0,0:0,0:0,0:2,1:3,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 26 Hours Ago,3626
0:0,0:0,0:0,0:0,0:0,0:0,3:1,7:2,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 26 Hours Ago,3626
0:0,0:0,0:0,0:0,0:0,1:0,0:1,0:1,2:3,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:2,0:0,0:0,1:0,0:2,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,3626
0:2,0:1,1:0,0:1,0:0,0:0,1:1,0:2,0:2,1:2,0:1,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3626
0:0,0:0,0:0,0:0,0:0,0:0,3:1,0:1,0:0,0:0,9:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3626
0:0,1:0,0:0,1:1,4:2,0:1,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 40 Hours Ago,3626
0:0,2:1,0:0,0:0,1:2,0:1,1:0,1:1,1:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:1,1:0,0:0,0:0,0:0,0:0,1:0,0:0,1:0,0:0,Updated : 29 Hours Ago,3626
0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:4,0:0,0:0,1:0,0:0,0:0,0:0,8:6,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:1,0:0,Updated : 48 Hours Ago,3626
0:1,0:0,2:0,0:0,0:0,11:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 247 Hours Ago,3626
0:0,1:0,0:0,7:2,1:0,0:0,1:1,0:0,1:1,0:0,0:1,0:0,2:2,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 22 Hours Ago,3626
0:0,0:0,0:1,0:0,0:0,12:8,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 57 Hours Ago,3626
4:0,1:1,1:1,2:1,0:1,0:1,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,1:1,0:0,0:0,1:1,0:0,0:0,1:2,0:1,0:0,0:0,0:0,0:0,Updated : 48 Hours Ago,3626
1:1,0:0,1:2,0:1,5:3,0:0,0:2,0:0,1:2,0:1,0:0,1:0,0:1,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,3626
0:1,0:1,0:0,2:1,0:0,1:1,0:0,0:1,2:0,0:0,1:1,0:0,0:1,0:0,0:0,1:1,0:2,0:0,1:0,0:0,0:0,0:0,3:2,0:0,1:1,0:0,0:0,Updated : 23 Hours Ago,3626
0:0,0:0,4:0,0:0,0:0,4:3,0:0,0:0,7:4,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,Updated : 109 Hours Ago,3626
